StockID,Familly,Item,CAJA_onehot,BULTO_onehot,CostPrice,QtyMinimum,BarCode,PriceList,QtyAvailable,QtyAvailableForStore,VersionSync,AverageSaleQty,CommentWhenAvailableForStore
1,DE LA ROSA,de la rosa bianchi choco amarillo 50pz 350gr,0,0,47.4,1,17,60.0,2,7,168663,876.0,2 disponible de inmediato
2,DE LA ROSA,CAJA de la rosa bianchi choco amarillo c/20,1,0,948.0,0,24,1185.0,0,0,171420,0.0,NO DISPONIBLE (NO PROGRAMADO)
3,DE LA ROSA,de la rosa wafertin 24pz 528gr,0,0,51.4,1,31,65.0,1,1,169278,89.0,1 disponible de inmediato
4,DE LA ROSA,CAJA de la rosa wafertin c/24,1,0,1233.6,0,48,1109.0,0,0,158146,0.0,NO DISPONIBLE (NO PROGRAMADO)
5,DE LA ROSA,de la rosa bianchi grande 45pz 400gr,0,0,23.2,1,55,29.0,10,14,165615,329.0,10 disponible de inmediato
6,DE LA ROSA,CAJA de la rosa bianchi grande B/R c/15,1,0,348.0,0,62,435.0,0,0,165614,0.0,NO DISPONIBLE (NO PROGRAMADO)
7,DE LA ROSA,CAJA de la rosa piñata mix c/6,1,0,1015.2,0,79,1270.0,0,3,170131,0.0,3 disponible a partir del
8,DEIMAN,CAJA deiman frosty mix jati sin sabor c/12,1,0,582.0,0,86,728.0,0,0,164192,0.0,NO DISPONIBLE (NO PROGRAMADO)
9,DULCES PILLO,CAJA dulces pillo bibi frutix c/12,1,0,602.4,0,93,752.0,0,0,169262,0.0,NO DISPONIBLE (NO PROGRAMADO)
10,INIX,CAJA inix 1312-44 c/10,1,0,560.0,0,109,750.0,1,1,162618,0.0,1 disponible de inmediato
11,DE LA ROSA,de la rosa bianchi mediano blanco 80pz 400gr,0,0,23.2,1,116,29.0,0,1,165256,292.0,1 disponible a partir del
12,PANA DE ARANDAS,BULTO 80x120 pana de arandas c/25,0,1,1350.0,0,123,2032.0,0,0,144091,0.0,NO DISPONIBLE (NO PROGRAMADO)
13,DE LA ROSA,CAJA de la rosa gummy pop original azucar 21,1,0,577.5,0,130,620.0,0,0,160137,0.0,NO DISPONIBLE (NO PROGRAMADO)
14,DE LA ROSA,CAJA de la rosa super gigante colores c/5,1,0,248.0,0,147,310.0,0,0,166333,0.0,NO DISPONIBLE (NO PROGRAMADO)
15,INIX,inix base negra alitas CP2414N 25pz,0,0,105.0,1,154,132.0,1,1,172595,0.0,1 disponible de inmediato
16,REYMA,CAJA reyma 8x8 division blanco c/200,1,0,277.0,0,161,347.0,0,0,143120,0.0,NO DISPONIBLE (NO PROGRAMADO)
17,DE LA ROSA,de la rosa bianchi mini mini 50pz 750gr,0,0,60.34,5,178,84.0,0,1,172529,126.0,1 disponible a partir del
