InvoiceItemID,InvoiceID,StockID,Description,Price Unit,Total,CostPrice,LineNbr
1,1,5,de la rosa bianchi grande 45pz,29.0,29.0,22.5,1
2,2,78,reyma 7oz vaso plastico 50pz,30.0,30.0,23.4,1
3,2,66,classy cuchara pastelera 50pz,13.0,13.0,8.83,2
4,3,2568,macma deju 280gr,61.0,61.0,48.6,1
5,4,732,macma escoces 330gr,57.0,57.0,45.49,1
6,5,582,primo vaso 0 vaso 100pz,27.0,27.0,20.95,1
7,5,580,primo tapa 0 tapa 100pz,16.0,16.0,12.4,2
8,6,2362,JKM guantes desechables polietileno 100pz,30.0,30.0,24.0,1
9,7,36,8x22 bolsa chica 500gr,49.0,49.0,39.0,1
10,8,314,ferrero rocher 24pz 300gr,196.0,196.0,156.3,1
11,9,828,nestle tin larin mini 9pz 108gr,26.0,26.0,21.4,1
12,10,1640,dart 8JY8 25pz,11.0,11.0,7.9,1
13,11,2515,topin perlas blueberry 1kg,220.0,220.0,220.0,1
14,11,2118,ambiderm guantes negro nitrilo 10pz,40.0,40.0,30.0,2
15,11,2968,heinz maple 18pz 535gr porcion,36.0,36.0,28.75,3
16,11,2288,"badia bacon bits 14oz 396,9gr",119.0,119.0,99.0,4
17,12,2830,alegria capacillo decorado niñA 100pz,44.0,44.0,35.0,1
18,12,2718,alegria capacillo decorado niñO 100pz,44.0,44.0,35.0,2
19,13,1130,inix 1414 ALTO 25pz,57.0,57.0,44.29,1
20,13,1794,reyma tapa plastica 16 ranurada 50pz,31.0,31.0,24.64,2
21,14,131,dart tapa 16SLMX 100pz,49.0,49.0,38.8,1
22,15,828,nestle tin larin mini 9pz 108gr,26.0,26.0,21.4,1
23,16,1329,ferrero rocher 8pz 100gr,71.0,71.0,56.1,1
24,17,2193,"hersheys kisses milk chocolate 888,3gr 228pz",169.0,169.0,140.41,1
25,18,911,jaguar pactiv 8 vaso irrompible 50pz 262ml,33.0,33.0,25.5,1
26,19,909,mister almendra pastel 1kg,92.0,92.0,76.3,1
27,20,971,candy pop bolitochas surtida 60pz 540gr,67.0,67.0,55.41,1
28,20,1398,candy pop malvalleno mix 50pz 400gr,51.0,102.0,42.2,2
29,21,507,kalu minigelatina 50pz 765gr bolsa,37.0,37.0,30.7,1
30,21,2097,kurumiel palanquetas mini 20pz 360gr bolsa,24.0,24.0,20.0,2
31,21,1,de la rosa bianchi chocolate original 350g 50pz,52.0,52.0,42.8,3
32,22,119,dart 12J12 25pz,15.0,15.0,10.35,1
33,23,68,classy cuchara sopera bio 25pz,13.0,13.0,9.55,1
34,24,1187,reyma plato termico 6 bio 25pz,21.0,21.0,13.6,1
35,25,47,anguiplast basura jumbo 90x120 10pz,49.0,49.0,38.9,1
36,26,2861,inix 16RPET 50pz,39.0,39.0,31.2,1
37,26,2862,inix tapa L90 50pz,33.0,33.0,26.0,2
38,26,116,dart 6J6 25pz,9.0,9.0,6.72,3
39,26,123,dart 16MJ32 25pz,22.0,22.0,17.15,4
40,26,68,classy cuchara sopera bio 25pz,13.0,13.0,9.55,5
41,26,71,classy TENEDOR sopero bio 25pz,13.0,13.0,9.55,6
